network,country,state,region,location,lat,lon,spread,start,end,cause
CY__ASOS,CY,,ΠΑΦΟΣ,ΑΓΙΑ ΜΑΡΙΝΑ ΧΡΥΣΟΧΟΥΣ,35.128601911140606,32.52708298668862,0.156,2013-11-08 21:30:00,,Γεωργικές δραστηριότητες
CY__ASOS,CY,,ΠΑΦΟΣ,ΑΓΙΑ ΜΑΡΙΝΑ ΧΡΥΣΟΧΟΥΣ,35.12853652135584,32.52650164895121,0.099,2013-11-09 00:40:00,,Γεωργικές δραστηριότητες
CY__ASOS,CY,,ΠΑΦΟΣ,ΙΝΕΙΑ ,34.94541333919382,32.366190032477455,0.3,2013-11-10 12:45:00,,Γεωργικές δραστηριότητες
CY__ASOS,CY,,ΠΑΦΟΣ,ΙΝΕΙΑ ,34.95287288789089,32.32965089285428,2.83,2013-11-10 11:00:00,,Γεωργικές δραστηριότητες
CY__ASOS,CY,,ΠΑΦΟΣ,ΙΝΕΙΑ ,34.943264277513215,32.357051603913895,1.23,2013-11-13 16:25:00,,Γεωργικές δραστηριότητες
CY__ASOS,CY,,ΠΑΦΟΣ,ΙΝΕΙΑ ,34.95367977914403,32.36572116965738,3.63,2013-11-16 12:00:00,,Γεωργικές δραστηριότητες
CY__ASOS,CY,,ΠΑΦΟΣ,ΓΙΑΛΙΑ ,35.09139780034521,32.5024819607027,0.667,2013-11-17 13:30:00,,Γεωργικές δραστηριότητες
CY__ASOS,CY,,ΠΑΦΟΣ,ΚΑΤΩ ΑΡΟΔΕΣ ,34.93312641358697,32.37386166367163,3.21,2013-11-20 13:00:00,,Γεωργικές δραστηριότητες
CY__ASOS,CY,,ΠΑΦΟΣ,ΙΝΕΙΑ ,34.980754110776665,32.341146540104646,2.09,2013-11-23 09:30:00,,Γεωργικές δραστηριότητες
CY__ASOS,CY,,ΠΑΦΟΣ,ΠΟΜΟΣ,35.15805888174204,32.545413425132494,0.2835,2014-01-07 11:40:00,,Δραστηριότητες σε κατοικίες
CY__ASOS,CY,,ΛΕΜΕΣΟΣ,ΠΕΛΕΝΔΡΙ,34.9159372845753,32.95075805168608,0.676,2014-01-20 13:30:00,,Γεωργικές δραστηριότητες
CY__ASOS,CY,,ΛΕΜΕΣΟΣ,ΦΟΙΝΙ,34.910529773390735,32.81407960534794,0.2,2014-02-17 14:10:00,,Άγνωστη
CY__ASOS,CY,,ΠΑΦΟΣ,ΑΡΓΑΚΑ ,35.07690758223644,32.496032510564085,0.16,2014-03-02 16:30:00,,Γεωργικές δραστηριότητες
CY__ASOS,CY,,ΠΑΦΟΣ,ΛΥΣΟΣ,35.0216679420629,32.50701528498939,0.0511,2014-03-08 12:00:00,,Σκόπιμη
CY__ASOS,CY,,ΛΕΥΚΩΣΙΑ,ΣΙΑ ,34.94725372604575,33.372312483281284,0.2,2014-04-07 14:15:00,,Στρατιωτικές δραστηριότητες
CY__ASOS,CY,,ΛΕΥΚΩΣΙΑ,ΝΙΚΗΤΑΡΙ,35.032431119086965,32.94390216478247,0.0001,2014-04-10 07:01:00,,Φυσική (κεραυνός)
CY__ASOS,CY,,ΛΕΜΕΣΟΣ,ΦΟΙΝΙ,34.89799409536369,32.845367128107824,0.04,2014-04-13 12:30:00,,Δραστηριότητες σε κατοικίες
CY__ASOS,CY,,ΑΜΜΟΧΩΣΤΟΣ,ΣΩΤΗΡΑ ,35.00489356319878,33.93839151379151,0.7,2014-04-27 13:00:00,,Γεωργικές δραστηριότητες
CY__ASOS,CY,,ΠΑΦΟΣ,ΠΟΛΙΣ ΧΡΥΣΟΧΟΥΣ ,35.040800662851616,32.41896922772831,0.295,2014-04-29 14:25:00,,Σκόπιμη
CY__ASOS,CY,,ΠΑΦΟΣ,ΑΓΙΟΣ ΙΩΑΝΝΗΣ,34.87844582855966,32.70496747354332,0.9,2014-05-04 16:00:00,,Άγνωστη
CY__ASOS,CY,,ΑΜΜΟΧΩΣΤΟΣ,ΑΓΙΑ ΝΑΠΑ ,34.99684964820135,33.960390531446606,0.3,2014-05-12 12:35:00,,Ταξιδιώτες / Εκδρομείς
CY__ASOS,CY,,ΛΑΡΝΑΚΑ,ΚΛΑΥΔΙΑ ,34.89368050773797,33.53438771201471,0.136,2014-05-20 16:15:00,,Δασικές εργασίες
CY__ASOS,CY,,ΠΑΦΟΣ,ΑΣΠΡΟΓΙΑ ,34.93125957708401,32.600199976783514,0.005,2014-05-22 15:20:00,,Φυσική (κεραυνός)
CY__ASOS,CY,,ΠΑΦΟΣ,ΑΣΠΡΟΓΙΑ ,34.92923244922977,32.62044393079549,0.4,2014-05-27 15:05:00,,Σκόπιμη
CY__ASOS,CY,,ΠΑΦΟΣ,ΜΑΚΟΥΝΤΑ ,35.051249783853095,32.478075345365426,8.5177,2014-06-09 13:15:00,,Σκόπιμη
